Subject,Subject Desc,Course Number,Title,Academic Period,Academic Period Desc,Section,CRN,Instructor,A,A-,A+,AU,B,B-,B+,C,C-,C+,D,D-,D+,E,F,FN,I,IF,N,NS,P,PI,S,SI,U,W,WF,WN,WU,
,,,,,,152,16333,"Beasley, Melanie M.",60.0%,26.7%,,,,6.7%,,,,3.3%,3.3%,,,,,,,,,,,,,,,,,,,
,,,,,,153,16345,"Hoffmann, Elizabeth A.",17.2%,10.3%,55.2%,,3.4%,3.4%,6.9%,,,,,,,,3.4%,,,,,,,,,,,,,,,
,,,,,,155,17850,"Kantor, Alon",26.7%,30.0%,33.3%,,6.7%,,,,,,,,,,3.3%,,,,,,,,,,,,,,,
,,,,,,156,20666,"Watkins, Jody R.",26.7%,46.7%,,,6.7%,10.0%,6.7%,,3.3%,,,,,,,,,,,,,,,,,,,,,
,,,,,,158,20668,"Knapp, Travis J.",27.6%,3.4%,41.4%,,20.7%,3.4%,3.4%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,159,20671,"Knapp, Travis J.",24.1%,6.9%,48.3%,,3.4%,,10.3%,,,,,,,,6.9%,,,,,,,,,,,,,,,
,,,,,,160,20672,"Watkins, Jody R.",9.7%,38.7%,,,12.9%,6.5%,19.4%,3.2%,,3.2%,,,,,,,,,,,,,,,,6.5%,,,,
,,,,,,161,20685,"Abhyankar, Rajendra M.",44.8%,20.7%,10.3%,,6.9%,3.4%,3.4%,,,,,,,,3.4%,,,,,,,,,,,6.9%,,,,
,,,,,,163,20688,"Knapp, Travis J.",23.3%,6.7%,43.3%,,16.7%,,,3.3%,,,,,,,6.7%,,,,,,,,,,,,,,,
,,,,,,164,20689,"Mason, Claire E.",26.7%,,66.7%,,,,,,,3.3%,,,,,,,,,,,,,,,,3.3%,,,,
,,,,,,165,20706,"Marazka, Ibrahim",26.7%,30.0%,,,20.0%,3.3%,10.0%,,3.3%,,,,3.3%,,,,,,,,,,,,,3.3%,,,,
,,,,,,166,20709,"Mason, Claire E.",31.0%,3.4%,51.7%,,3.4%,,,,,3.4%,,,3.4%,,,,,,,,,,,,,3.4%,,,,
,,,,,,167,20714,"Mason, Claire E.",26.7%,3.3%,60.0%,,,,3.3%,,,,,,,,3.3%,,,,,,,,,,,3.3%,,,,
,,,,,,169,20783,"Kain, Patrick P.",28.6%,53.6%,,,7.1%,,10.7%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,171,20804,"Marazka, Ibrahim",25.0%,21.4%,,,14.3%,7.1%,17.9%,,,7.1%,,,,,7.1%,,,,,,,,,,,,,,,
,,,,,,172,20905,"Connaughton, Stacey L.",44.8%,24.1%,,,10.3%,,3.4%,3.4%,,3.4%,,,,,10.3%,,,,,,,,,,,,,,,
,,,,,,173,20909,"Mann, Marcus L.",50.0%,13.3%,,,13.3%,,,,,3.3%,,,,,10.0%,,,,,,,,,,,10.0%,,,,
,,,,,,174,20912,"Rdzak, Brandon W.",26.7%,13.3%,33.3%,,,6.7%,3.3%,3.3%,3.3%,10.0%,,,,,,,,,,,,,,,,,,,,
,,,,,,178,25820,"White, Christopher M.",58.6%,,3.4%,,6.9%,,6.9%,3.4%,,6.9%,3.4%,,,,10.3%,,,,,,,,,,,,,,,
,,,,,,179,25821,"White, Christopher M.",36.7%,,6.7%,,10.0%,6.7%,6.7%,6.7%,3.3%,10.0%,3.3%,,,,10.0%,,,,,,,,,,,,,,,
,,,,,,180,25822,"Mason, Claire E.",20.0%,23.3%,43.3%,,10.0%,,,,,,,,,3.3%,,,,,,,,,,,,,,,,
,,,,,,181,25823,"White, Christopher M.",58.6%,,13.8%,,6.9%,,3.4%,3.4%,,,,,,,10.3%,,,,,,,,,,,3.4%,,,,
,,,,,,189,27362,"Watkins, Peter",30.0%,6.7%,53.3%,,3.3%,3.3%,3.3%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,190,27363,"Watkins, Peter",36.7%,6.7%,43.3%,,6.7%,6.7%,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,191,27364,"Watkins, Peter",53.3%,6.7%,23.3%,,3.3%,,13.3%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,192,27361,"Watkins, Peter",30.0%,3.3%,43.3%,,3.3%,3.3%,6.7%,,,,,3.3%,,,6.7%,,,,,,,,,,,,,,,
,,,,,,193,27395,"Knapp, Travis J.",40.0%,3.3%,33.3%,,,6.7%,,,,6.7%,3.3%,,3.3%,,3.3%,,,,,,,,,,,,,,,
,,,,,,194,27396,"Rdzak, Brandon W.",33.3%,10.0%,53.3%,,,,3.3%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,195,27397,"Rdzak, Brandon W.",24.1%,10.3%,31.0%,,6.9%,10.3%,,3.4%,3.4%,3.4%,,,,,6.9%,,,,,,,,,,,,,,,
,,,,,,196,27398,"Rdzak, Brandon W.",20.0%,13.3%,50.0%,,,,3.3%,,3.3%,,,3.3%,3.3%,,,,,,,,,,,,,3.3%,,,,
,,,,,,197,27399,"Stringer, Ryan M.",16.7%,16.7%,6.7%,,16.7%,16.7%,10.0%,3.3%,,10.0%,,,,,,,,,,,,,,,,3.3%,,,,
,,,,,,198,27400,"Stringer, Ryan M.",10.0%,20.0%,,,33.3%,10.0%,13.3%,10.0%,,,,,,,,,,,,,,,,,,3.3%,,,,
,,,,,,199,27401,"Stringer, Ryan M.",20.0%,20.0%,10.0%,,13.3%,16.7%,6.7%,,,3.3%,,,,,3.3%,,,,,,,,,,,6.7%,,,,
,,,,,,200,27402,"Stringer, Ryan M.",13.3%,16.7%,3.3%,,16.7%,13.3%,23.3%,3.3%,,3.3%,,,,,3.3%,,,,,,,,,,,3.3%,,,,
,,,,,,201,27403,"Western, David S.",26.7%,23.3%,20.0%,,3.3%,3.3%,13.3%,,,3.3%,,3.3%,,,,,3.3%,,,,,,,,,,,,,
,,,,,,202,27404,"Western, David S.",30.0%,36.7%,16.7%,,,3.3%,10.0%,,,3.3%,,,,,,,,,,,,,,,,,,,,
,,,,,,203,27405,"Western, David S.",40.0%,40.0%,10.0%,,,,,3.3%,,3.3%,,,,,,,3.3%,,,,,,,,,,,,,
,,,,,,204,27406,"Western, David S.",24.1%,37.9%,17.2%,,3.4%,,10.3%,,3.4%,,,,,,,,,,,,,,,,,3.4%,,,,
,,,,,,205,27407,"Watkins, Jody R.",24.1%,55.2%,,,3.4%,,17.2%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,206,27408,"Watkins, Peter",36.7%,,63.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,207,27409,"Nichols, Michael D.",46.7%,30.0%,,,3.3%,,16.7%,,,,,,,,,,,,,,,,,,,3.3%,,,,
,,,,,,208,27410,"Ayala-Chittick, Stephanie M.",30.0%,33.3%,30.0%,,3.3%,,3.3%,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,209,27411,"White, Christopher M.",43.3%,,10.0%,,10.0%,3.3%,16.7%,,3.3%,3.3%,,,,,10.0%,,,,,,,,,,,,,,,
,,,,,,210,27788,"Marazka, Ibrahim",30.0%,33.3%,,,20.0%,3.3%,6.7%,,,6.7%,,,,,,,,,,,,,,,,,,,,
,,,Crit Think & Com II-Honors,202210,Fall 2021,003,20677,"White, William",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,30000,Liberal Arts Influentials,202210,Fall 2021,001,12289,"Sparger, Lori A.",12.2%,10.2%,25.5%,,8.2%,6.1%,10.2%,1.0%,4.1%,3.1%,1.0%,1.0%,3.1%,,11.2%,,,,,,,,,,,3.1%,,,,
,,49100,Liberal Arts Undergr Resch Exp,202210,Fall 2021,012,27769,"Tittle-Hudson, Holly L.",,,,,,,,,,,,,,,,,,,,,,,94.4%,,,5.6%,,,,
SFS,SFS-Sustainable Food&Farm Sys,21100,Small Farm Experience II,202210,Fall 2021,002,21052,"Hallett, Steven G.",87.5%,,,,6.3%,,,,,,,,,,,,,,,,,,,,,6.3%,,,,
,,31100,Aquaponics,202210,Fall 2021,001,22321,"Brown, Paul B.",13.0%,26.1%,,,26.1%,4.3%,17.4%,,4.3%,,,,,,,,,,,,,,,,,8.7%,,,,
,,31200,Urban Agriculture,202210,Fall 2021,001,15481,"Nzaranyimana, Theoneste",39.1%,4.3%,56.5%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,31300,Farm To Fork,202210,Fall 2021,001,25933,"Hallett, Steven G.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,39100,Structural Racism American Ag,202210,Fall 2021,002,27688,"Hallett, Steven G.",,,91.7%,,,,,8.3%,,,,,,,,,,,,,,,,,,,,,,
SLHS,"SLHS-Speech, Lang&Hear Science",11000,Exploring SLHS,202210,Fall 2021,LC1,22503,"Sivasankar, Preeti M.",19.2%,3.8%,57.7%,,3.8%,,7.7%,,,,,,,,3.8%,,,,,,,,,,,3.8%,,,,
,,11500,Intro Comm Disorders,202210,Fall 2021,002,20405,"Masters, Christi M.",14.8%,16.4%,10.9%,,14.1%,11.7%,19.5%,6.3%,,4.7%,,,0.8%,,,,,,,,,,,,,0.8%,,,,
,,22700,Elements Linguistics,202210,Fall 2021,001,28415,"Kaganovich, Natalya B.",34.7%,,,,44.9%,,,12.2%,,,8.2%,,,,,,,,,,,,,,,,,,,
,,30200,Hearing Science,202210,Fall 2021,001,12830,"Schweinzger, Ivy A.",16.4%,21.8%,23.6%,,9.1%,7.3%,9.1%,1.8%,,7.3%,,1.8%,1.8%,,,,,,,,,,,,,,,,,
,,30300,Anat&Phys Of Spch Mechanism,202210,Fall 2021,001,16718,"Schaser, Allison J.",19.0%,9.5%,44.4%,,,1.6%,9.5%,1.6%,3.2%,1.6%,1.6%,1.6%,,,1.6%,,,,,,,,,,,4.8%,,,,
,,30600,Intro To Phonetics,202210,Fall 2021,004,15129,"Francis, Alexander L.",18.5%,13.0%,59.3%,,1.9%,1.9%,1.9%,,,,,,,,3.7%,,,,,,,,,,,,,,,
,,30900,Language Development,202210,Fall 2021,001,62101,"Beer, Jessica",21.9%,15.1%,27.4%,,8.2%,5.5%,13.7%,4.1%,,2.7%,,,,,1.4%,,,,,,,,,,,,,,,
,,41800,Understanding Autism,202210,Fall 2021,001,18577,"Keehn, Brandon M.",51.6%,28.1%,,,6.3%,7.8%,1.6%,1.6%,,1.6%,,1.6%,,,,,,,,,,,,,,,,,,
,,41900,Diverse Children With Comm Dis,202210,Fall 2021,002,20258,"Brosseau-Lapre, Francoise",52.3%,15.9%,18.2%,,2.3%,,11.4%,,,,,,,,,,,,,,,,,,,,,,,
,,,Intro To Neurodegen Disorders,202210,Fall 2021,001,19043,"Schaser, Allison J.",19.2%,,80.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,43000,Sp Lng Dis Hlth Set,202210,Fall 2021,002,19606,"Bauman, Emily L.",38.2%,27.9%,,,10.3%,2.9%,13.2%,,1.5%,2.9%,1.5%,,,,1.5%,,,,,,,,,,,,,,,
,,46000,Assmt Aud Aural Rehab Lifespan,202210,Fall 2021,001,62107,"Alexander, Joshua M.",10.3%,9.0%,26.9%,,17.9%,5.1%,11.5%,7.7%,2.6%,5.1%,,,2.6%,,1.3%,,,,,,,,,,,,,,,
,,49800,Undergrad Res Exper,202210,Fall 2021,015,10440,"Brosseau-Lapre, Francoise",66.7%,,33.3%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,026,22248,"Borovsky, Arielle",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,50100,Neural Bases Sp & Hrng,202210,Fall 2021,001,62469,"Kemmerer, David L.",36.0%,24.0%,8.0%,,12.0%,8.0%,12.0%,,,,,,,,,,,,,,,,,,,,,,,
,,50200,Fund Spch Prod & Perceptn,202210,Fall 2021,001,69638,"Francis, Alexander L.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,51900,Aug & Alt Communication,202210,Fall 2021,017,16739,"Gutmann, Michelle L.",25.0%,6.3%,68.8%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Speech Disorders In Children,202210,Fall 2021,009,69641,"Brosseau-Lapre, Francoise",66.7%,4.2%,29.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,52300,Lng Dis Chld:Bsic Prin,202210,Fall 2021,001,16741,"Leonard, Laurence B.",36.0%,16.0%,36.0%,,,,8.0%,,,,,,,,,,,,,,,,,,,4.0%,,,,
,,52900,"Stuttering:Nat,Diag,Tx",202210,Fall 2021,001,15216,"Weber, Christine M.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,53800,Motor Disorders Of Speech,202210,Fall 2021,001,20376,"Gutek, Joanne M.",52.2%,26.1%,13.0%,,4.3%,,4.3%,,,,,,,,,,,,,,,,,,,,,,,
,,54900,Cl Prc Sp Lang Path I,202210,Fall 2021,055,62531,"Loudermill, Chenell",45.8%,25.0%,29.2%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,056,62532,"Loudermill, Chenell",73.9%,8.7%,17.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,61900,Integrative AuD Grand Rounds,202210,Fall 2021,006,15924,"Simpson, Jennifer M.",90.0%,,,,5.0%,,5.0%,,,,,,,,,,,,,,,,,,,,,,,
,,,Pediatric Feeding& Swallowing,202210,Fall 2021,009,20285,"Malandraki, Georgia",76.9%,7.7%,15.4%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Research & Professional Issues,202210,Fall 2021,001,65624,"Schaser, Allison J.",,,,,,,,,,,,,,,,,,,,,93.3%,,,,,6.7%,,,,
,,67900,Adv Cln Prac Audiology,202210,Fall 2021,001,62545,"Simpson, Jennifer M.",54.5%,9.1%,,,9.1%,,27.3%,,,,,,,,,,,,,,,,,,,,,,,
,,68800,RID-EBP,202210,Fall 2021,001,25398,"Borovsky, Arielle",93.1%,3.4%,,,,,,,,,,,,,,,,,,,,,,,,3.4%,,,,
SOC,SOC-Sociology,10000,Intro Sociology,202210,Fall 2021,036,14332,"Zaborenko, Callie J.",47.7%,9.1%,15.9%,,,4.5%,4.5%,4.5%,2.3%,,,2.3%,2.3%,,,,,,,,,,,,,6.8%,,,,
,,,,,,047,18964,"Jackson, Brandon",32.6%,17.3%,19.2%,,8.7%,3.4%,9.1%,1.5%,1.1%,2.3%,1.3%,0.4%,,,1.7%,,,,,,,,,,,1.5%,,,,
,,,,,,053,17109,"Thomas, Patricia A.",25.2%,21.4%,3.8%,,11.3%,8.4%,17.0%,3.3%,0.8%,3.3%,0.4%,0.4%,1.1%,,2.3%,,0.2%,,,,0.2%,,,,,1.0%,,,,
,,,,,,054,24256,"Tong, Kooi Chin",20.7%,16.7%,8.7%,,15.3%,6.7%,14.7%,2.0%,2.0%,5.3%,0.7%,0.7%,2.7%,,1.3%,,,,,,1.3%,,,,,1.3%,,,,
,,,,,,Y01,28798,"Feld, Scott L.",20.0%,5.0%,38.0%,,15.0%,4.0%,4.0%,2.0%,3.0%,1.0%,1.0%,,1.0%,,4.0%,,,,1.0%,,,,,,,1.0%,,,,
,,22000,Social Problems,202210,Fall 2021,003,28803,"Hamm, Lindsay M.",25.5%,4.4%,52.1%,,3.7%,2.1%,1.6%,2.8%,0.2%,1.4%,0.2%,,0.7%,,3.0%,,,,,,,,,,,2.3%,,,,
,,,,,,007,22237,"Frame, Nicole M.",40.0%,20.0%,,,8.9%,11.1%,4.4%,2.2%,2.2%,6.7%,2.2%,,,,,,,,,,,,,,,2.2%,,,,
,,,,,,Y01,28807,"Hamm, Lindsay M.",31.1%,4.0%,41.1%,,7.3%,2.0%,0.7%,1.3%,2.0%,3.3%,1.3%,,,,4.0%,,,,,,,,,,,2.0%,,,,
,,27500,Sociology Of Aging,202210,Fall 2021,001,13144,"Ferraro, Kenneth F.",7.5%,10.0%,,,20.0%,17.5%,10.0%,7.5%,10.0%,7.5%,,,2.5%,,2.5%,,,,,,,,,,,5.0%,,,,
,,31000,Race And Ethnicity,202210,Fall 2021,012,17854,"Cox, Jenean",28.2%,9.0%,20.3%,,9.6%,5.6%,10.2%,2.8%,0.6%,3.4%,0.6%,0.6%,2.8%,,3.4%,,,,,,0.6%,,,,,2.3%,,,,
,,,,,,013,17424,"Jackson, Brandon",24.1%,12.1%,34.5%,,5.2%,6.9%,6.9%,1.7%,1.7%,,,,1.7%,,5.2%,,,,,,,,,,,,,,,
,,32400,Criminology,202210,Fall 2021,007,12962,"Mcelhattan, David R.",32.3%,8.3%,35.4%,,6.3%,3.1%,5.2%,2.1%,,4.2%,1.0%,,,,,,,,,,,,,,,2.1%,,,,
,,,,,,008,20355,"Pawson, Mark P.",21.8%,28.7%,12.6%,,9.2%,11.5%,5.7%,,2.3%,2.3%,,,,,3.4%,,,,,,,,,,,2.3%,,,,
,,,Criminology-Honors,202210,Fall 2021,007,12962,"Mcelhattan, David R.",,,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,32700,Crime Deviance Media,202210,Fall 2021,001,24716,"Spencer, Jack W.",17.5%,,,,24.6%,7.0%,,29.8%,3.5%,,5.3%,,,,1.8%,,1.8%,,,,,,,,,8.8%,,,,
,,32800,Criminal Justice,202210,Fall 2021,003,62036,"Headworth, Spencer J.",38.0%,16.0%,,,10.0%,4.0%,16.0%,,4.0%,4.0%,4.0%,,,,,,,,,,,,,,,4.0%,,,,
,,,,,,004,16252,"Galloway, Scott D.",40.3%,17.7%,,,12.9%,1.6%,14.5%,,,1.6%,1.6%,,1.6%,,3.2%,,,,,,1.6%,,,,,3.2%,,,,
,,33500,Political Sociology,202210,Fall 2021,001,13027,"Mann, Marcus L.",31.0%,31.0%,,,4.8%,7.1%,9.5%,,,2.4%,,,,,4.8%,,,,,,,,,,,9.5%,,,,
,,34000,Gen Social Psychology,202210,Fall 2021,001,21861,"Mize, Trenton D.",31.1%,14.4%,8.9%,,10.0%,6.7%,7.8%,3.3%,1.1%,7.8%,1.1%,2.2%,,,4.4%,,,,,,,,,,,1.1%,,,,
,,35000,Sociology Of Family,202210,Fall 2021,002,28827,"Suitor, J Jill",51.2%,,23.3%,,9.3%,,7.0%,7.0%,,,,,,,,,,,,,,,,,,2.3%,,,,
,,35200,"Drugs,Culture,&Society",202210,Fall 2021,001,17447,"Kelly, Brian C.",26.5%,20.4%,6.1%,,10.2%,8.2%,12.2%,4.1%,,4.1%,4.1%,,,,2.0%,,,,,,,,,,,2.0%,,,,
,,,"Drugs,Culture,&Society-Honors",202210,Fall 2021,001,17447,"Kelly, Brian C.",,100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,35600,Hate And Violence,202210,Fall 2021,X02,53981,"Einwohner, Rachel L.",60.4%,27.1%,,,4.2%,,8.3%,,,,,,,,,,,,,,,,,,,,,,,
,,,Hate And Violence-Honors,202210,Fall 2021,X02,53981,"Einwohner, Rachel L.",100.0%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,36700,Religion In America,202210,Fall 2021,005,61934,"Yang, Fenggang",8.8%,17.6%,14.7%,,11.8%,,20.6%,2.9%,,14.7%,,,2.9%,,5.9%,,,,,,,,,,,,,,,
,,37400,Medical Sociology,202210,Fall 2021,002,22612,"Stepniak, Catherine G.",8.8%,20.6%,35.3%,,5.9%,11.8%,5.9%,,,8.8%,,,2.9%,,,,,,,,,,,,,,,,,
,,,,,,003,22614,"Frase, Robert T.",44.1%,,47.1%,,5.9%,,2.9%,,,,,,,,,,,,,,,,,,,,,,,
,,38200,Intro Statistics In Sociology,202210,Fall 2021,012,46382,"Sennott, Christie A.",14.3%,14.3%,5.7%,,14.3%,8.6%,5.7%,5.7%,2.9%,5.7%,,2.9%,2.9%,,11.4%,,2.9%,,,,,,,,,2.9%,,,,
,,,,,,014,64031,"Sennott, Christie A.",19.4%,19.4%,,,2.8%,19.4%,8.3%,8.3%,2.8%,8.3%,5.6%,,,,5.6%,,,,,,,,,,,,,,,
,,38300,Intro Research Methods In Soc,202210,Fall 2021,008,17847,"Feld, Scott L.",26.8%,22.0%,14.6%,,9.8%,2.4%,2.4%,2.4%,,4.9%,,2.4%,2.4%,,4.9%,,,,,,,,,,,4.9%,,,,
,,,,,,009,17849,"Stainback, Kevin M.",12.1%,12.1%,,,33.3%,9.1%,18.2%,3.0%,3.0%,,,3.0%,,,3.0%,,,,,,,,,,,3.0%,,,,
,,40200,Sociological Theory,202210,Fall 2021,005,28856,"Doyle, Joshua F.",45.8%,12.5%,,,16.7%,4.2%,4.2%,4.2%,8.3%,4.2%,,,,,,,,,,,,,,,,,,,,
,,,,,,006,17872,"Stainback, Kevin M.",11.8%,11.8%,,,20.6%,5.9%,14.7%,11.8%,5.9%,11.8%,,,,,,,,,,,,,,,,5.9%,,,,
,,41100,Social Inequality,202210,Fall 2021,001,22756,"Hamm, Lindsay M.",32.5%,10.0%,10.0%,,12.5%,7.5%,10.0%,5.0%,2.5%,2.5%,2.5%,,,,2.5%,,,,,,,,,,,2.5%,,,,
,,41900,Sociology Of Law,202210,Fall 2021,003,11289,"Headworth, Spencer J.",30.0%,10.0%,,,16.7%,,,10.0%,3.3%,23.3%,3.3%,,,,3.3%,,,,,,,,,,,,,,,
,,,,,,004,17071,"Hoffmann, Elizabeth A.",7.5%,20.0%,17.5%,,10.0%,7.5%,15.0%,2.5%,2.5%,7.5%,,,5.0%,,5.0%,,,,,,,,,,,,,,,
,,42300,Field Pract Soc And Law & Soc,202210,Fall 2021,001,10117,"Coghill, William M.",72.7%,,9.1%,,9.1%,,,,,,,,,,,,,,,,,,,,,9.1%,,,,
,,42600,Soc Deviance & Control,202210,Fall 2021,001,14787,"Mcelhattan, David R.",18.5%,11.1%,48.1%,,3.7%,7.4%,7.4%,,,,,,3.7%,,,,,,,,,,,,,,,,,
,,45000,Gender Roles Mod Soc,202210,Fall 2021,003,28866,"Kane, Danielle",39.1%,21.7%,2.2%,,8.7%,2.2%,8.7%,8.7%,2.2%,,2.2%,,,,4.3%,,,,,,,,,,,,,,,
,,46100,Health And Social Behavior,202210,Fall 2021,001,17893,"Thomas, Patricia A.",26.3%,15.8%,15.8%,,10.5%,,21.1%,,5.3%,,,,,,5.3%,,,,,,,,,,,,,,,
,,67700,Aging &The Life Course,202210,Fall 2021,001,24464,"Suitor, J Jill",18.2%,,72.7%,,9.1%,,,,,,,,,,,,,,,,,,,,,,,,,
SPAN,SPAN-Spanish,10100,Spanish Level I,202210,Fall 2021,003,17674,"Encarnacion Nunez, Stalin A.",26.9%,11.5%,,,26.9%,11.5%,7.7%,3.8%,3.8%,,,,,,3.8%,,,,,,,,,,,3.8%,,,,
,,,,,,004,17700,"Narvaez, Diana Alejandra",23.1%,,,,19.2%,,11.5%,11.5%,3.8%,,3.8%,,,,11.5%,,,,,,,,,,,15.4%,,,,
,,,,,,005,17819,"Encarnacion Nunez, Stalin A.",26.9%,15.4%,7.7%,,26.9%,3.8%,,,,,3.8%,,3.8%,,7.7%,,,,,,3.8%,,,,,,,,,
,,,,,,006,17820,"Zanelli, Dafne",16.0%,16.0%,12.0%,,16.0%,8.0%,8.0%,12.0%,,,,,4.0%,,4.0%,,,,,,,,,,,4.0%,,,,
,,10200,Spanish Level II,202210,Fall 2021,001,21312,"Quinones, Agustin",4.0%,24.0%,,,12.0%,4.0%,16.0%,8.0%,,4.0%,12.0%,4.0%,,,8.0%,,,,,,,,,,,4.0%,,,,
,,,,,,003,21314,"Gomez Alzate, Edier",20.0%,32.0%,,,20.0%,,16.0%,,,,,,,,12.0%,,,,,,,,,,,,,,,
,,,,,,005,21332,"Vera, Johann A.",12.0%,20.0%,,,28.0%,8.0%,,12.0%,,8.0%,,,,,4.0%,,,,,,4.0%,,,,,4.0%,,,,
,,,,,,006,21334,"Vargas Rojas, Luis",16.0%,8.0%,,,20.0%,16.0%,16.0%,4.0%,,8.0%,,,4.0%,,4.0%,,,,,,,,,,,4.0%,,,,
,,,,,,007,21340,"Quinones Cortes, Jhon Jairo",13.6%,13.6%,,,31.8%,13.6%,4.5%,9.1%,4.5%,,,9.1%,,,,,,,,,,,,,,,,,,
,,,,,,008,21341,"Quinones, Agustin",15.0%,45.0%,,,5.0%,,10.0%,10.0%,,5.0%,5.0%,,,,,,,,,,,,,,,5.0%,,,,
,,,,,,009,21343,"Camps Troncoso, Elisa",26.1%,8.7%,,,30.4%,4.3%,4.3%,8.7%,4.3%,8.7%,,,4.3%,,,,,,,,,,,,,,,,,
,,,,,,010,27373,"Dorribo, Elizabeth Z.",,9.1%,,,18.2%,27.3%,13.6%,,9.1%,,,4.5%,,,4.5%,,,,,,,,,,,13.6%,,,,
,,,,,,011,27731,"Vera, Johann A.",,23.1%,,,19.2%,11.5%,11.5%,15.4%,3.8%,3.8%,,,,,7.7%,,,,,,,,,,,3.8%,,,,
,,20100,Spanish Level III,202210,Fall 2021,002,50726,"Naranjo Holguin, Carolina",16.0%,16.0%,,,8.0%,24.0%,8.0%,16.0%,4.0%,4.0%,,,,,,,,,,,4.0%,,,,,,,,,
,,,,,,005,50729,"Naranjo Holguin, Carolina",8.0%,28.0%,,,28.0%,8.0%,4.0%,4.0%,4.0%,4.0%,,4.0%,,,4.0%,,4.0%,,,,,,,,,,,,,
,,,,,,007,50731,"Barranco Cortes, Lourdes",37.5%,16.7%,,,25.0%,4.2%,8.3%,,4.2%,4.2%,,,,,,,,,,,,,,,,,,,,
,,,,,,008,50732,"Encarnacion Nunez, Stalin A.",12.0%,28.0%,,,24.0%,8.0%,12.0%,4.0%,4.0%,4.0%,4.0%,,,,,,,,,,,,,,,,,,,
,,,,,,022,50746,"Aubeneau, Nelida",40.0%,8.0%,,,16.0%,4.0%,16.0%,,4.0%,4.0%,,,,,,,,,,,,,,,,8.0%,,,,
,,,,,,025,50749,"Cedeno Guadamud, Nilo M.",8.0%,24.0%,12.0%,,20.0%,4.0%,8.0%,8.0%,4.0%,4.0%,,4.0%,,,,,,,,,,,,,,4.0%,,,,
,,,,,,027,50751,"Aubeneau, Nelida",12.0%,16.0%,,,8.0%,4.0%,8.0%,16.0%,8.0%,,,,8.0%,,4.0%,,,,,,4.0%,,,,,12.0%,,,,
,,,,,,029,50753,"Reyes, Nancy J.",34.6%,11.5%,11.5%,,23.1%,3.8%,3.8%,,,3.8%,,,,,,,,,,,,,,,,7.7%,,,,
,,,,,,030,57886,"Naranjo Holguin, Carolina",8.3%,20.8%,,,12.5%,12.5%,4.2%,12.5%,12.5%,,,4.2%,,,8.3%,,,,,,,,,,,4.2%,,,,
,,,,,,033,62937,"Dorribo, Elizabeth Z.",4.3%,26.1%,,,13.0%,13.0%,13.0%,17.4%,,4.3%,,,,,4.3%,,,,,,,,,,,4.3%,,,,
,,,,,,035,16223,"Aubeneau, Nelida",12.5%,12.5%,4.2%,,25.0%,16.7%,4.2%,4.2%,,,,,,,8.3%,,,,,,,,,,,12.5%,,,,
,,,,,,036,17116,"Brito Santos Jr, Thiago",7.7%,7.7%,,,30.8%,7.7%,15.4%,11.5%,,3.8%,7.7%,,,,7.7%,,,,,,,,,,,,,,,
,,,,,,043,26344,"Reyes, Nancy J.",37.5%,12.5%,8.3%,,12.5%,,4.2%,4.2%,12.5%,,4.2%,,,,,,,,,,,,,,,4.2%,,,,
,,,,,,044,26345,"Perez de Jesus, Jorge D.",38.5%,19.2%,,,11.5%,7.7%,15.4%,,3.8%,3.8%,,,,,,,,,,,,,,,,,,,,
,,,,,,045,26346,"Quiroga Varon, Jhon H.",18.2%,9.1%,,,18.2%,22.7%,,4.5%,4.5%,4.5%,4.5%,,,,4.5%,,,,,,,,,,,9.1%,,,,
,,,,,,046,26347,"Gary-Camargo, Gabriel E.",28.0%,20.0%,4.0%,,4.0%,8.0%,16.0%,8.0%,4.0%,,,,,,,,4.0%,,,,4.0%,,,,,,,,,
