Subject;Subject Desc;Course Number;Title;Academic Period;Academic Period Desc;Section;CRN;Instructor;A;A-;A+;AU;B;B-;B+;C;C-;C+;D;D-;D+;E;F;I;N;P;PI;S;SI;U;W;
;;;;;;005;16356;Yu, Siyi;11.1%;38.9%;5.6%;;7.4%;7.4%;29.6%;;;;;;;;;;;;;;;;;
;;;;;;006;13697;Nowak, Daniel P.;9.4%;18.9%;;;37.7%;3.8%;13.2%;3.8%;3.8%;3.8%;;;;;1.9%;;;;;;;;3.8%;
;;;;;;007;69188;Zhao, Jason Y.;10.9%;14.5%;;;23.6%;18.2%;20.0%;7.3%;;3.6%;;;;;;;;;;;;;1.8%;
;;;;;;008;21195;Zhao, Jason Y.;11.8%;19.6%;;;13.7%;27.5%;15.7%;3.9%;;5.9%;;;;;2.0%;;;;;;;;;
;;;;;;010;21197;Zhao, Jason Y.;11.3%;15.1%;;;26.4%;17.0%;17.0%;7.5%;;3.8%;;;;;;;;;;;;;1.9%;
;;;;;;011;21198;Yu, Siyi;41.7%;20.8%;8.3%;;8.3%;8.3%;12.5%;;;;;;;;;;;;;;;;;
;;;;;;013;21201;Yu, Siyi;8.7%;43.5%;8.7%;;8.7%;4.3%;21.7%;4.3%;;;;;;;;;;;;;;;;
;;;;;;014;35192;Yu, Siyi;11.4%;28.6%;;;11.4%;8.6%;37.1%;;;;;2.9%;;;;;;;;;;;;
;;33100;Develop & Impt Eq Emp Law;202620;Spring 2026;001;34806;Ficht, Linda S.;30.8%;7.7%;7.7%;;7.7%;;7.7%;15.4%;;7.7%;7.7%;;;;7.7%;;;;;;;;;
;;33500;Strategic Business Writing;202620;Spring 2026;001;13702;Roberson, Kasie M.;9.1%;31.8%;;;27.3%;4.5%;27.3%;;;;;;;;;;;;;;;;;
;;;;;;002;13703;Roberson, Kasie M.;;50.0%;;;25.0%;4.2%;12.5%;;;4.2%;;;;;;;;;;;;;4.2%;
;;;;;;003;69190;Roberson, Kasie M.;;45.8%;;;12.5%;4.2%;29.2%;;;4.2%;;;;;;;;;;;;;4.2%;
;;;;;;004;69191;Liu, Yuchen;29.2%;33.3%;;;4.2%;8.3%;8.3%;8.3%;;4.2%;;;;;4.2%;;;;;;;;;
;;;;;;005;69192;Woodson, Aryca P.;;33.3%;;;20.8%;;37.5%;4.2%;;;;;;;;;;;;;;;4.2%;
;;;;;;006;69719;Woodson, Aryca P.;4.2%;25.0%;;;37.5%;;20.8%;4.2%;;4.2%;;;;;;;;;;;;;4.2%;
;;;;;;007;21689;Ortiz, Vanessa V.;8.3%;33.3%;;;37.5%;8.3%;4.2%;4.2%;;4.2%;;;;;;;;;;;;;;
;;;;;;008;21690;Stef-Praun, Ana-Maria L.;8.3%;37.5%;;;4.2%;12.5%;29.2%;;4.2%;4.2%;;;;;;;;;;;;;;
;;;;;;009;21701;Stef-Praun, Ana-Maria L.;12.5%;37.5%;;;8.3%;8.3%;29.2%;;4.2%;;;;;;;;;;;;;;;
;;;;;;010;21707;Stef-Praun, Ana-Maria L.;;33.3%;;;20.8%;16.7%;25.0%;;;4.2%;;;;;;;;;;;;;;
;;;;;;011;21342;Woodson, Aryca P.;4.3%;26.1%;;;26.1%;;17.4%;13.0%;;4.3%;4.3%;;;;4.3%;;;;;;;;;
;;;;;;012;21367;Liu, Yuchen;20.8%;33.3%;;;4.2%;8.3%;20.8%;4.2%;;4.2%;;;;;4.2%;;;;;;;;;
;;;;;;013;21384;Liu, Yuchen;16.7%;33.3%;;;20.8%;4.2%;20.8%;;;4.2%;;;;;;;;;;;;;;
;;;;;;014;34812;Ortiz, Vanessa V.;;29.2%;;;29.2%;8.3%;25.0%;4.2%;4.2%;;;;;;;;;;;;;;;
;;;;;;015;34816;Ortiz, Vanessa V.;8.3%;41.7%;;;16.7%;;29.2%;;;;4.2%;;;;;;;;;;;;;
;;;;;;016;34817;Ortiz, Vanessa V.;4.3%;34.8%;;;26.1%;8.7%;17.4%;;;4.3%;;;;;;;;;;;;;4.3%;
;;;;;;017;34819;Woodson, Aryca P.;12.5%;54.2%;;;12.5%;;20.8%;;;;;;;;;;;;;;;;;
;;35000;Intermediate Acctg I;202620;Spring 2026;001;22548;Oh, Junhyeog;10.9%;20.0%;;;20.0%;3.6%;10.9%;9.1%;;16.4%;;;;;;;;;;;;;9.1%;
;;;;;;002;11194;Oh, Junhyeog;10.9%;9.1%;3.6%;;14.5%;7.3%;16.4%;10.9%;3.6%;9.1%;1.8%;;;;1.8%;;;;;;;;10.9%;
;;;;;;003;69193;Oh, Junhyeog;20.0%;9.1%;;;10.9%;9.1%;7.3%;7.3%;1.8%;18.2%;;;;;;;;;;;;;16.4%;
;;35100;Intermediate Acctg II;202620;Spring 2026;001;15420;Qiu, Lin;11.1%;19.4%;11.1%;;8.3%;8.3%;13.9%;5.6%;5.6%;8.3%;8.3%;;;;;;;;;;;;;
;;;;;;002;15422;Qiu, Lin;6.8%;20.5%;4.5%;;25.0%;9.1%;18.2%;2.3%;4.5%;4.5%;;;;;2.3%;;;;;;;;2.3%;
;;;;;;003;69194;Qiu, Lin;13.2%;22.6%;9.4%;;20.8%;9.4%;11.3%;1.9%;1.9%;3.8%;3.8%;;;;;;;;;;;;1.9%;
;;35200;Strategic Management;202620;Spring 2026;002;10060;Basak, Preetika;18.5%;31.5%;1.9%;;9.3%;1.9%;27.8%;;;1.9%;1.9%;;;;;;;;;;;;5.6%;
;;;;;;003;10065;Gibbs, Ralph A.;18.2%;7.3%;;;18.2%;23.6%;16.4%;1.8%;1.8%;7.3%;;;;;1.8%;;;;;;;;3.6%;
;;;;;;004;10066;Gibbs, Ralph A.;12.2%;16.3%;;;22.4%;6.1%;22.4%;6.1%;6.1%;6.1%;2.0%;;;;;;;;;;;;;
;;;;;;005;10069;Gibbs, Ralph A.;12.7%;12.7%;;;30.9%;10.9%;18.2%;5.5%;1.8%;3.6%;1.8%;;;;;;;;;;;;1.8%;
;;;;;;006;17899;Hu, Jiabei;12.7%;25.5%;;;9.1%;12.7%;23.6%;7.3%;;1.8%;1.8%;;;;;;;;;;;;5.5%;
;;;;;;007;17204;Hu, Jiabei;12.7%;29.1%;;;14.5%;10.9%;21.8%;5.5%;1.8%;1.8%;1.8%;;;;;;;;;;;;;
;;;;;;008;69196;Klapper, Helge J.;3.6%;14.5%;;;25.5%;16.4%;25.5%;5.5%;;9.1%;;;;;;;;;;;;;;
;;;;;;009;69197;Klapper, Helge J.;7.4%;14.8%;;;22.2%;11.1%;33.3%;3.7%;;5.6%;1.9%;;;;;;;;;;;;;
;;;;;;010;21476;Rios, Luis A.;16.4%;5.5%;1.8%;;18.2%;14.5%;25.5%;3.6%;5.5%;7.3%;;;1.8%;;;;;;;;;;;
;;;;;;011;34821;Lu, Xiaohan;9.3%;14.8%;1.9%;;20.4%;13.0%;25.9%;7.4%;;1.9%;3.7%;;;;1.9%;;;;;;;;;
;;;;;;012;34823;Sariri, Amir;16.7%;33.3%;8.3%;;8.3%;;8.3%;;;;;;;;16.7%;;;;;;;;8.3%;
;;;;;;013;34825;Sariri, Amir;7.8%;9.8%;3.9%;;25.5%;13.7%;23.5%;3.9%;2.0%;2.0%;;;;;2.0%;;;;;;;;5.9%;
;;;;;;014;34827;Sariri, Amir;5.8%;9.6%;1.9%;;19.2%;19.2%;30.8%;1.9%;;5.8%;;;;;;;;;;;;;5.8%;
;;;Strategic Management-Honors;202620;Spring 2026;009;69197;Klapper, Helge J.;;;;;;;100.0%;;;;;;;;;;;;;;;;;
;;35300;Int Acct For Non Acct Maj;202620;Spring 2026;002;69198;Seo, Hojun;5.3%;18.4%;2.6%;;10.5%;15.8%;10.5%;7.9%;2.6%;10.5%;;;;;;;;;;;;;15.8%;
;;;;;;003;69199;Seo, Hojun;7.3%;16.4%;1.8%;;18.2%;5.5%;21.8%;5.5%;5.5%;10.9%;;;;;;;;;;;;;7.3%;
;;;;;;004;34843;Seo, Hojun;10.2%;14.3%;;;18.4%;10.2%;14.3%;4.1%;8.2%;8.2%;;;;;;;;;;;;;12.2%;
;;35500;Consulting Tools And Skills;202620;Spring 2026;001;24789;Burr, John F.;20.8%;29.2%;;;;;45.8%;;;;;;;;;;;;;;;;4.2%;
;;36100;Operations Management;202620;Spring 2026;001;33909;Madan, Manohar S.;10.9%;5.5%;;;20.0%;20.0%;21.8%;7.3%;1.8%;5.5%;1.8%;;;;;;;;;;;;5.5%;
;;;;;;002;33906;Gunay, Elif E.;26.4%;9.4%;3.8%;;20.8%;7.5%;11.3%;3.8%;3.8%;9.4%;;1.9%;1.9%;;;;;;;;;;;
;;;;;;004;16374;Shi, Pengyi;13.3%;11.7%;;;36.7%;13.3%;8.3%;5.0%;1.7%;6.7%;3.3%;;;;;;;;;;;;;
;;;;;;005;19270;Shi, Pengyi;25.4%;5.1%;8.5%;;27.1%;3.4%;11.9%;8.5%;1.7%;3.4%;1.7%;3.4%;;;;;;;;;;;;
;;;;;;006;13705;Madan, Manohar S.;13.3%;8.3%;;;10.0%;30.0%;16.7%;6.7%;6.7%;5.0%;1.7%;;;;;;;;;;;;1.7%;
;;;;;;010;34848;Gunay, Elif E.;21.7%;11.7%;1.7%;;10.0%;8.3%;13.3%;11.7%;3.3%;13.3%;;;1.7%;;1.7%;;;;;;;;1.7%;
;;;;;;011;34849;Madan, Manohar S.;13.3%;25.0%;;;13.3%;8.3%;8.3%;11.7%;8.3%;5.0%;1.7%;;1.7%;;3.3%;;;;;;;;;
;;;;;;012;34850;Madan, Manohar S.;12.3%;5.3%;;;17.5%;10.5%;14.0%;14.0%;1.8%;12.3%;3.5%;;5.3%;;1.8%;;;;;;;;1.8%;
;;;Operations Management-Honors;202620;Spring 2026;H09;34846;Senicheva, Olga R.;3.0%;42.4%;6.1%;;15.2%;3.0%;18.2%;;6.1%;3.0%;;;3.0%;;;;;;;;;;;
;;37000;Real Estate Fund;202620;Spring 2026;001;16940;Stokes, Jeffrey R.;17.6%;29.4%;;;11.8%;23.5%;;5.9%;;;;;;;;;;;;;;;11.8%;
;;;;;;003;35728;Stokes, Jeffrey R.;8.1%;27.0%;;;5.4%;43.2%;;5.4%;5.4%;;;;2.7%;;;;;;;;;;2.7%;
;;37500;Real Estate Law;202620;Spring 2026;001;13706;Harper, Cecelia M.;9.1%;12.1%;3.0%;;21.2%;9.1%;30.3%;;;15.2%;;;;;;;;;;;;;;
;;;Real Estate Law-Honors;202620;Spring 2026;001;13706;Harper, Cecelia M.;;;100.0%;;;;;;;;;;;;;;;;;;;;;
;;38200;Mgmt & Informatn Systm;202620;Spring 2026;001;22566;Zheng, Jie;20.0%;21.8%;9.1%;;7.3%;12.7%;29.1%;;;;;;;;;;;;;;;;;
;;;;;;002;18493;Wang, Fangyan;29.1%;23.6%;12.7%;;10.9%;5.5%;14.5%;3.6%;;;;;;;;;;;;;;;;
;;;;;;003;22565;Jiang, Yikun;10.9%;14.5%;3.6%;;9.1%;14.5%;29.1%;10.9%;;5.5%;;;;;;;;;;;;;1.8%;
;;;;;;005;17209;Mazur, Lawrence J.;12.7%;21.8%;9.1%;;27.3%;12.7%;12.7%;;;1.8%;;;;;;;;;;;;;1.8%;
;;;;;;006;17211;Mazur, Lawrence J.;7.3%;14.5%;3.6%;;27.3%;9.1%;34.5%;;;1.8%;;;;;;1.8%;;;;;;;;
;;;;;;007;69203;Dejoie, Roy M.;11.9%;7.1%;4.8%;;42.9%;4.8%;4.8%;9.5%;4.8%;2.4%;;;2.4%;;;;;;;;;;4.8%;
;;;;;;008;69207;Jiang, Yikun;8.6%;14.3%;5.7%;;8.6%;14.3%;31.4%;11.4%;;5.7%;;;;;;;;;;;;;;
;;;;;;010;21482;Dejoie, Roy M.;17.0%;2.1%;4.3%;;27.7%;6.4%;8.5%;6.4%;4.3%;6.4%;4.3%;;2.1%;;4.3%;;;;;;;;6.4%;
;;;;;;011;33169;Ying, Yat Ling;3.6%;29.1%;5.5%;;12.7%;18.2%;16.4%;1.8%;1.8%;3.6%;;;1.8%;;;1.8%;;;;;;;3.6%;
;;;;;;012;34851;Mazur, Lawrence J.;16.1%;26.8%;8.9%;;17.9%;5.4%;19.6%;;;5.4%;;;;;;;;;;;;;;
;;;;;;014;41793;Jiang, Yikun;9.8%;22.0%;4.9%;;7.3%;14.6%;24.4%;9.8%;;4.9%;;;;;;;;;;;;;2.4%;
;;;Mgmt & Informatn Systm-Honors;202620;Spring 2026;012;34851;Mazur, Lawrence J.;;;100.0%;;;;;;;;;;;;;;;;;;;;;
;;38800;Python For Business;202620;Spring 2026;001;14950;Ferdousi, Bushra;29.2%;1.5%;3.1%;;29.2%;10.8%;20.0%;4.6%;;1.5%;;;;;;;;;;;;;;
;;;;;;002;21483;Ferdousi, Bushra;29.2%;12.5%;12.5%;;18.8%;6.3%;12.5%;4.2%;;;;2.1%;2.1%;;;;;;;;;;;
;;;;;;004;34859;Khan, Shoaib A.;14.3%;16.3%;6.1%;;18.4%;10.2%;24.5%;2.0%;;6.1%;2.0%;;;;;;;;;;;;;
;;38900;Using AI For Business Analytic;202620;Spring 2026;001;21501;Gonzalez Espinosa, Juan Ignacio;27.7%;29.8%;2.1%;;8.5%;6.4%;19.1%;;;6.4%;;;;;;;;;;;;;;
;;39000;Personal Financial Mgmt;202620;Spring 2026;004;40466;Lagrange, Neil C.;18.9%;18.9%;;;22.6%;11.3%;22.6%;3.8%;1.9%;;;;;;;;;;;;;;;
;;;Principled Business Leadership;202620;Spring 2026;003;34863;Lemper, Tim;25.0%;35.0%;10.0%;;15.0%;5.0%;10.0%;;;;;;;;;;;;;;;;;
;;39100;Strat Think & Decision Making;202620;Spring 2026;002;23907;Owen, Silas M.;13.0%;30.4%;;;8.7%;;39.1%;;4.3%;4.3%;;;;;;;;;;;;;;
;;40100;Exec Forum;202620;Spring 2026;001;22574;Randich, David M.;26.6%;13.8%;23.4%;;10.6%;4.3%;1.1%;4.3%;2.1%;4.3%;1.1%;2.1%;;;1.1%;;;;;;;;5.3%;
;;40500;Six Sigma And Quality;202620;Spring 2026;001;17212;Mercado Velasco, Gary;4.2%;40.8%;4.2%;;16.9%;7.0%;18.3%;1.4%;;4.2%;1.4%;;;;;;;;;;;;1.4%;
;;41100;Investments Management;202620;Spring 2026;001;22576;Silva, Dejanir H.;6.7%;8.3%;25.0%;;8.3%;5.0%;45.0%;;;1.7%;;;;;;;;;;;;;;
;;;;;;002;22578;Silva, Dejanir H.;5.0%;10.0%;31.7%;;8.3%;;38.3%;;;3.3%;;;;;;;;;;;;;3.3%;
;;;;;;003;19300;Silva, Dejanir H.;10.0%;6.7%;10.0%;;11.7%;11.7%;45.0%;;;3.3%;;;;;;;;;;;;;1.7%;
;;;;;;004;22955;Liu, Ping;43.6%;16.4%;14.5%;;9.1%;1.8%;5.5%;1.8%;1.8%;1.8%;;;;;;;;;;;;;3.6%;
;;;;;;005;69218;Liu, Ping;55.6%;14.8%;11.1%;;9.3%;5.6%;1.9%;;;;;;;;;;;;;;;;1.9%;
;;;;;;006;35478;Liu, Ping;49.1%;18.9%;9.4%;;7.5%;1.9%;3.8%;5.7%;;1.9%;;;;;;;;;;;;;1.9%;
;;41150;Futures And Options;202620;Spring 2026;001;22726;Boquist, Alexander W.;8.8%;15.8%;;;28.1%;8.8%;33.3%;1.8%;;3.5%;;;;;;;;;;;;;;
;;;;;;002;69220;Boquist, Alexander W.;14.3%;16.1%;1.8%;;23.2%;8.9%;28.6%;3.6%;;1.8%;;;;;;;;;;;;;1.8%;
;;;Futures And Options-Honors;202620;Spring 2026;001;22726;Boquist, Alexander W.;;;;;100.0%;;;;;;;;;;;;;;;;;;;
;;;;;;002;69220;Boquist, Alexander W.;50.0%;;;;;50.0%;;;;;;;;;;;;;;;;;;
;;41200;Financial Institutions;202620;Spring 2026;001;34865;Baeza, Phillip G.;33.9%;18.6%;5.1%;;15.3%;10.2%;10.2%;1.7%;;3.4%;;;;;;;;;;;;;1.7%;
;;;;;;002;34866;Baeza, Phillip G.;27.6%;15.5%;6.9%;;5.2%;17.2%;15.5%;1.7%;5.2%;5.2%;;;;;;;;;;;;;;
;;41250;Fixed Income Securities;202620;Spring 2026;001;19301;Zeng, Lulu;31.5%;11.1%;5.6%;;13.0%;9.3%;11.1%;7.4%;5.6%;3.7%;;;1.9%;;;;;;;;;;;
;;;;;;002;19302;Zeng, Lulu;27.3%;10.9%;9.1%;;3.6%;21.8%;9.1%;7.3%;1.8%;7.3%;1.8%;;;;;;;;;;;;;
;;41300;Corporate Finance;202620;Spring 2026;001;22581;Brown, Craig;24.2%;16.1%;1.6%;;22.6%;3.2%;8.1%;6.5%;6.5%;1.6%;3.2%;;;;1.6%;;;;;;;;4.8%;
;;;;;;002;69222;Brown, Craig;10.5%;17.5%;;;36.8%;8.8%;5.3%;1.8%;5.3%;1.8%;1.8%;;;;;;;;;;;;10.5%;
;;;;;;005;40475;Brown, Craig;17.2%;12.1%;1.7%;;25.9%;5.2%;20.7%;5.2%;5.2%;1.7%;3.4%;;;;;;;;;;;;1.7%;
;;;;;;006;40478;Yatsenko, Valeriia;5.7%;15.1%;5.7%;;7.5%;11.3%;15.1%;7.5%;;1.9%;;;;;3.8%;;;;;;;;26.4%;
;;41310;Financial Modeling;202620;Spring 2026;002;25005;Zeng, Lulu;18.3%;11.7%;5.0%;;16.7%;11.7%;23.3%;5.0%;1.7%;6.7%;;;;;;;;;;;;;;
;;;;;;003;33402;Zeng, Lulu;21.0%;17.7%;4.8%;;27.4%;4.8%;6.5%;8.1%;1.6%;6.5%;;1.6%;;;;;;;;;;;;
;;41350;Venture Capital;202620;Spring 2026;001;19320;D'Almeida, Fabricio R.;21.3%;21.3%;;;8.2%;11.5%;21.3%;4.9%;4.9%;3.3%;;;;;;;;;;;;;3.3%;
;;;;;;002;19321;D'Almeida, Fabricio R.;19.4%;17.7%;;;16.1%;9.7%;27.4%;1.6%;1.6%;3.2%;;;;;1.6%;;;;;;;;1.6%;
;;41500;Intl Financial Mgmt;202620;Spring 2026;003;16174;Faccio, Mara;23.6%;16.4%;3.6%;;21.8%;7.3%;20.0%;;;5.5%;;;;;;;;;;;;;1.8%;
;;;;;;004;13719;Faccio, Mara;21.4%;21.4%;;;21.4%;10.7%;19.6%;;;1.8%;;;;;1.8%;;;;;;;;1.8%;
;;;;;;005;21507;Faccio, Mara;20.4%;22.2%;1.9%;;20.4%;3.7%;20.4%;;3.7%;5.6%;;;;;;;;;;;;;1.9%;
;;;;;;006;34870;Zhang, Xinde;23.8%;6.3%;;;14.3%;9.5%;27.0%;6.3%;3.2%;7.9%;;;;;;;;;;;;;1.6%;
;;41650;Financial Engineering;202620;Spring 2026;001;21522;Atmaz, Adem;16.4%;10.9%;5.5%;;10.9%;12.7%;27.3%;;;3.6%;;;;;;;;;;;;;12.7%;
;;;;;;002;41891;Atmaz, Adem;14.3%;28.6%;7.1%;;3.6%;7.1%;21.4%;3.6%;;;;;;;;;;;;;;;14.3%;
;;42000;Consumer Analytics;202620;Spring 2026;001;21529;Jo, Wooyong;19.6%;27.5%;3.9%;;15.7%;7.8%;17.6%;;;3.9%;;;;;;;;;;;;;3.9%;
;;42110;Marketing Analytics;202620;Spring 2026;001;16240;Berbeglia, Franco;28.0%;14.0%;10.0%;;18.0%;2.0%;26.0%;;;2.0%;;;;;;;;;;;;;;
;;42210;International Marketing;202620;Spring 2026;001;16444;Allred, Chad R.;31.6%;17.5%;;;10.5%;8.8%;29.8%;;;1.8%;;;;;;;;;;;;;;
;;;;;;002;16445;Allred, Chad R.;7.3%;16.4%;;;25.5%;9.1%;34.5%;1.8%;;3.6%;;;;;;;;;;;;;1.8%;
;;42420;Sales Management;202620;Spring 2026;001;34872;Zhang, Tongxiao;36.4%;;;;61.8%;;;1.8%;;;;;;;;;;;;;;;;
;;42500;Marketing Research;202620;Spring 2026;001;21539;Yu, Siyi;5.9%;23.5%;;;27.5%;7.8%;33.3%;;;2.0%;;;;;;;;;;;;;;
;;42710;Digital Marketing Strategy;202620;Spring 2026;001;16448;Lee, Jinsuh;;32.7%;1.8%;;18.2%;10.9%;25.5%;;1.8%;5.5%;;;;;;;;;;;;;3.6%;
;;;;;;002;69803;Lee, Jinsuh;5.9%;15.7%;2.0%;;13.7%;21.6%;33.3%;2.0%;5.9%;;;;;;;;;;;;;;;
;;42910;Marketing Practicum;202620;Spring 2026;004;34877;Allred, Chad R.;54.5%;31.8%;4.5%;;;;9.1%;;;;;;;;;;;;;;;;;
;;;;;;006;34879;Leitch, Stephen R.;16.0%;56.0%;;;12.0%;;12.0%;;;4.0%;;;;;;;;;;;;;;
;;;Marketing Practicum-Honors;202620;Spring 2026;004;34877;Allred, Chad R.;;;;;;;100.0%;;;;;;;;;;;;;;;;;
;;43700;Social Media Marketing;202620;Spring 2026;001;21554;Nowak, Daniel P.;21.4%;14.3%;;;28.6%;10.7%;16.1%;;3.6%;3.6%;;;;;;;;;;;;;1.8%;
;;43800;Pricing Strategies;202620;Spring 2026;001;17214;Rossi, Federico;27.5%;7.8%;;;13.7%;25.5%;23.5%;;;;;;;;;;;;;;;;2.0%;
;;43901;Real Estate Inv & Dev;202620;Spring 2026;001;13667;Eriksen, Michael D.;28.9%;4.4%;;;44.4%;4.4%;2.2%;8.9%;4.4%;;;;;;;;;;;;;;2.2%;
;;43902;Real Estate Capital Markets;202620;Spring 2026;001;31335;Stokes, Jeffrey R.;17.1%;8.6%;2.9%;;11.4%;34.3%;5.7%;2.9%;8.6%;2.9%;;2.9%;;;;;;;;;;;2.9%;
;;43905;Real Est Ind Proj;202620;Spring 2026;001;35318;Stokes, Jeffrey R.;16.7%;33.3%;;;22.2%;11.1%;11.1%;;5.6%;;;;;;;;;;;;;;;
;;44301;Management Of Human Resources;202620;Spring 2026;001;11952;Williams, Henry E.;13.7%;26.0%;2.7%;;15.1%;15.1%;19.2%;1.4%;1.4%;;;;;;;;;;;;;;5.5%;
;;;;;;002;13444;Williams, Henry E.;10.7%;24.0%;1.3%;;5.3%;18.7%;12.0%;10.7%;2.7%;9.3%;;;;;1.3%;;;;;;;;4.0%;
;;;;;;003;34881;Williams, Henry E.;20.0%;6.7%;2.7%;;16.0%;16.0%;22.7%;2.7%;;8.0%;;;2.7%;;;;;1.3%;;;;;1.3%;
;;44362;Leadership In A Changing World;202620;Spring 2026;001;40580;Zipay, Katelyn P.;13.9%;50.0%;;;5.6%;;25.0%;;;2.8%;;;;;;2.8%;;;;;;;;
;;;;;;002;40581;Zipay, Katelyn P.;20.0%;31.4%;;;14.3%;11.4%;14.3%;;2.9%;;;;;;5.7%;;;;;;;;;
;;;Ldrshp In A Chng World-Honors;202620;Spring 2026;001;40580;Zipay, Katelyn P.;;;;;;;100.0%;;;;;;;;;;;;;;;;;
;;44428;Human Resources Mgmt;202620;Spring 2026;001;11812;Munoz, Joel;11.8%;14.7%;;;20.6%;8.8%;32.4%;2.9%;;5.9%;2.9%;;;;;;;;;;;;;
;;;;;;002;34885;Munoz, Joel;5.8%;11.5%;1.9%;;26.9%;9.6%;21.2%;1.9%;5.8%;7.7%;;;;;;;;;;;;;7.7%;
;;;Human Resources Mgmt-Honors;202620;Spring 2026;001;11812;Munoz, Joel;;100.0%;;;;;;;;;;;;;;;;;;;;;;
;;44429;Talent Management;202620;Spring 2026;001;15282;Chupp, Brian K.;19.4%;9.7%;;;25.8%;16.1%;16.1%;3.2%;;6.5%;;;3.2%;;;;;;;;;;;
;;44431;Compensation: Total Rewards;202620;Spring 2026;002;41325;Gibelato Santos Ribeiro, Izabely R.;6.3%;9.4%;;;12.5%;18.8%;31.3%;9.4%;;12.5%;;;;;;;;;;;;;;
;;44630;Innovation Mgmt;202620;Spring 2026;001;21573;Klapper, Helge J.;13.6%;27.3%;9.1%;;9.1%;9.1%;13.6%;4.5%;;9.1%;;;;;;;;;;;;;4.5%;
;;44673;Intensive I -Self Ldrshp;202620;Spring 2026;007;40945;Zipay, Katelyn P.;83.3%;1.9%;;;1.9%;;;;;;;;;;;;;;;;;;13.0%;
;;;Intensive II Relational Ldrshp;202620;Spring 2026;006;34886;Alge, Bradley J.;58.3%;;;;;;;;;;;;;;;8.3%;;;;;;;33.3%;
;;44690;Negotiation & Decision Making;202620;Spring 2026;001;25195;Schneider, Natalie M.;27.8%;8.3%;;;16.7%;22.2%;19.4%;;;5.6%;;;;;;;;;;;;;;
;;;;;;002;40577;Schneider, Natalie M.;31.6%;2.6%;;;15.8%;10.5%;23.7%;2.6%;2.6%;5.3%;;;;;2.6%;;;;;;;;2.6%;
;;44710;Competitive Strategy;202620;Spring 2026;002;69231;Burr, John F.;32.1%;3.6%;7.1%;;10.7%;7.1%;32.1%;;;3.6%;;;;;;;;;;;;;3.6%;
;;44810;Technology Strategy;202620;Spring 2026;001;69232;Rios, Luis A.;14.7%;20.6%;;;17.6%;2.9%;35.3%;5.9%;;;;;;;2.9%;;;;;;;;;
;;;;;;002;21576;Lee, Gwendolyn K.;21.7%;13.0%;;;47.8%;4.3%;8.7%;4.3%;;;;;;;;;;;;;;;;
;;45500;Legal Bkgrnd Bus I;202620;Spring 2026;001;22600;Gavia, Miltina A.;13.5%;18.2%;1.4%;;26.4%;3.4%;29.7%;2.0%;;4.1%;;;;;0.7%;;;;;;;;0.7%;
;;;Legal Bkgrnd Bus I-Honors;202620;Spring 2026;001;22600;Gavia, Miltina A.;;;;;;;100.0%;;;;;;;;;;;;;;;;;
;;45600;Legal Foundatns Bus II;202620;Spring 2026;001;22602;Harper, Cecelia M.;7.5%;22.5%;7.5%;;15.0%;;22.5%;10.0%;2.5%;5.0%;;;7.5%;;;;;;;;;;;
;;45900;International Mangemnt;202620;Spring 2026;001;17216;Chiu, Wan Ting;;22.8%;29.8%;;8.8%;5.3%;21.1%;3.5%;1.8%;3.5%;;1.8%;;;;;;;;;;;1.8%;
;;;;;;002;17219;Chiu, Wan Ting;;17.0%;28.3%;;9.4%;3.8%;26.4%;;;5.7%;1.9%;3.8%;;;3.8%;;;;;;;;;
;;46300;Supply Chain Analytics;202620;Spring 2026;001;16318;Haskell, William B.;14.3%;46.9%;2.0%;;6.1%;8.2%;20.4%;;;;;;;;;;;;;;;;2.0%;
;;;;;;002;16319;Haskell, William B.;14.6%;50.0%;2.1%;;4.2%;14.6%;12.5%;;;2.1%;;;;;;;;;;;;;;
;;46400;Logistics: Concepts & Models;202620;Spring 2026;001;23844;Senicheva, Olga R.;23.4%;14.9%;4.3%;;17.0%;;17.0%;2.1%;2.1%;17.0%;;;;;;;;;;;;;2.1%;
;;;Logstcs: Concepts&Modls-Honors;202620;Spring 2026;001;23844;Senicheva, Olga R.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;46600;Project Management;202620;Spring 2026;001;23846;Gunay, Elif E.;38.8%;10.2%;2.0%;;18.4%;14.3%;8.2%;2.0%;2.0%;;2.0%;;;;2.0%;;;;;;;;;
;;46800;Supply Chain Technology;202620;Spring 2026;001;21587;Senicheva, Olga R.;18.8%;16.7%;2.1%;;20.8%;2.1%;22.9%;2.1%;;12.5%;2.1%;;;;;;;;;;;;;
;;;Supply Chain Technology-Honors;202620;Spring 2026;001;21587;Senicheva, Olga R.;100.0%;;;;;;;;;;;;;;;;;;;;;;;
;;47200;Adv Spreadsheet Mod & Sim;202620;Spring 2026;001;12447;Jaiswal, Prateek;23.6%;3.6%;3.6%;;27.3%;7.3%;5.5%;10.9%;1.8%;14.5%;;;;;;;;;;;;;1.8%;
;;;;;;002;12446;Li, Yanjun;38.2%;14.5%;3.6%;;7.3%;12.7%;12.7%;5.5%;1.8%;3.6%;;;;;;;;;;;;;;
;;;;;;003;69718;Li, Yanjun;29.6%;11.1%;;;14.8%;7.4%;14.8%;7.4%;1.9%;11.1%;1.9%;;;;;;;;;;;;;
